score,city,title,review
3,Sun City Center,Avoid it.,"The abridged version of this book would read as so:""Sin is inevitable. So make the best of bad situations. And oh by the way... women are strong.""There ya go. Nuff said. I don't need to read obnoxiously long sentences lamenting on one sentiment for the entire 160 odd pages or so of this travesty. The entire book is just one big complaint. From the girl who commits adultery. She laments about it for the whole stinking book and puts up with some obnoxious kid the for whole thing as well. Painfully thick language, stupid storyline, quixotic style... everything that would piss off a recreational reader. Avoid it."
5,Parma,A Must for Handgunners - Old and New,"This is a great reference for anyone considering using handguns as self-defense. Even experienced people should have a book like this as a refresher and reference. Is it perfect? No, such a short book is only so comphrensive. But it manages to impart a lot of knowledge nonetheless and anyone who thinks they know a lot about guns should study the experts. See alsoThe Seven Myths of Gun Control: Reclaiming the Truth About Guns, Crime, and the Second Amendment."
3,Annapolis,The greatest work of the 20th Century,"What can one say about this book that has not been said before...it is one of the most powerful works one can ever read, which is forever fresh and remains relevant no matter what era it is read in."
3,Parma,Disappointed,"i love this video unfortunately it doesn't show on a blue rays dvd player. which means i can't enjoy it :( i was a bit frustrated. however, other purchases in the past have been great through amazon."
4,Pensacola,Underrated album,"I almost didn't buy this album after hearing some of the two star reviews from the others, but I took a chance on it, and I give it 4 stars. ""Put It Where You Want It"" is excellent, both in track one and the jamming version on track 11, and ""Roll With It"" is also excellent. There's no question that it's hard to beat some of Larry's finest songs. My personal favorite is ""Smiles and Smiles to Go"" and it's hard to beat his old album ""Discovery"". But if you're a Larry Carlton fan, I think 4 stars is about right for this one."
4,Elmwood Park,good diaper,"These are good diapers that don't leak, even with overnight soakings. They don't hold up to blowouts as well as huggies little movers, however."
2,Mansfield,A huge Adams fan finally must face reality.,"as a long-time douglas adams fanatic (read all 5 of the trilogy, at least a dozen time, even wrote down every noun in all 5 for a database,) i read both last chance to see and dghda and loved them. then i read this sequel and had to admit that it was likely the worst book i'd ever encountered. i didn't laugh once and literally had to force myself through it with several lapses between readings. odin and thor bored me senseless. i can now understand why there's been no third addition to the series. time wasted on this could have been much better spent working on yet another hhg novel."
3,Holt,LOVE IT!!,"okay, first off i'll tell you that all the books in the series (there are four main series, then a couple ""in-between"" books) are great! however, it gets to be too much. remembering all the names, what clan they come from, who their mate is, who there kits are, who their friends/enemies are, who their brothers and sisters are, it's too much!but, i'm not here to bag on the books, i read the first one because a bunch of my friends were going on and on about them, it's a couple weeks later, and i'm just finishing the last omen, sooo... i don't know if that says anything other than i love warriors!!!!"
2,Burton,Big Problems with Amazon's Quality Control,"The DVD did not match the title of the cover. Literally the wrong movie was in the ""Anne of Green Gables - The Continuing Story"" sleeve. Pretty much of a let down. Come on Amazon get on your suppliers.Joe"
4,Parma,AN ARTIST'S LIFE,IRVING STONE HAS HIS READERS RELIVE VINCENT VAN GOGH'S LIFE.AFTER READING THE BOOK YOU CAN EASILY APPRECIATE THE TUMULTOUS LIFE THIS ARTIST HAD.THE AURTHOR HAS USED CERTAIN FICTIONAL MOMENTS AS HE AGREES TO IN THE END.THESE ONLY MAKE THE BOOK MORE READWORTHY.THE EMPHASIS IN THIS BOOK IS ON THE LIFE OF VINCENT VAN GOGH IN RELATION TO THE ART HE PRODUCED.ONE OF MY PERSONAL FAVOURITES.
3,Pensacola,"Good Movie, but Best Picture of the Year?","This was a good action flick, and all the fights and battles are great. Russel Crowe does a great job and deserves praise. But the movie doesn't flow logically. The reasons Crowe was made a slave aren't clear... he's crying at the death of his family, and a foot appears... next he's a slave. This coming from the man who has fought his way out of so many battles, including death in Germany when the current ruler was overthrown. There are several moments where I wasn't sure why things were happening. That's okay for an action flick, but I expect more from the Academy. Are we ready to throw plot development out the window when the action is good? Man, I hope not! By the way, the recreation of Rome was awesome, another plus for the movie. So why did I give it only two stars? Well, to be honest, in protest over the Academy's nomination... not that the field was all that great this year..."
3,Bridgewater,Don't buy,"Stay away from baseball game this year. Without MVP baseball having the mlb license, the games just aren't worth the time and money. MLB the show, has terrible game play and overall isn't fun to play. I bought MLB the show one night and sold it the next. MVP basebal sucks with the college players so don't buy that either."
2,Burton,Clichéd,"This is the first time I have ever written a review of a record on here and unfortunatly I've been moved to do so through abject boredom.This is the most clichéd, repetitive, cringingly bad record I have heard in a long time. I'm just glad that not everyone that listens to it will understand Spanish enough to shudder at each cheesy lyrics and forced stereotypes it contains. Really give it a wide berth."
2,Kenmore,Started interesting,"It certainly doesn't lack a twist, but to say it's a clever one would be false. It really is entirely social commentary just after the middle of the movie, but not really social commentary that has any basis in reality or even political affiliation...it's a dreamer sentiment that implies adversity is wrong and elitist paths are the only way...that's not really what I thought I was getting into when I started a movie called ""Tall Man"" involving a creepy figure and child abductions. It's not to say I was hoping it wouldn't be intelligent, I'm saying it isn't intelligent. I gave two stars for the fact that it was an unpredictable twist, though a silly one."
4,Pensacola,extra hanging space where you need it,"This product is great for the laundry room, and I put one up in the master bath, it's great for laying out your close for the next day, or for hanging your close as you finish ironing them."
5,Orland Park,Excellent!,"Eighties movies do NOT get any better than Bill and Ted! This movie rocks in all concieveable ways, and in ways few have dared ever repeat. This is excellent, but the lack of extras is non-non-heinous."
2,Sun City Center,What a waste of money!,It is a pity that a respected author should stoop to putting his name in big letters on the front cover of a book that was very obvoiusly written (badly) by others. I was left with a real sense of having wasted my money.
2,Annapolis,Not worth the money,"I didn't even give this movie 1 star but had to in order to post this. This was the most money I've spent on a DVD through Amazon.com and I was extremely disappointed. I suffered through the whole movie, hoping it would get better or even make sense before the ending. It was a waste of my money and my time. I bought it because someone recommended it. Not sure why. I buy Christian based movies more than secular and for the most part, like them all....but not this one. Horrible acting, horrible production, hard to follow. Very dissatisfied."
4,Burton,Valley of Vision,This book is so very good. Please read and enjoy. If you need a lift and want someone to understand please get this book.
2,Pensacola,pop history,"Unfortunately, William Manchester did not do his homework before writing this work. To his credit, he does at least admit to not doing the research. This book might provide an interesting story, but readers need to be aware that it cannot masquerade as a serious history text."
3,Wausau,Is this supposed to be scary?,"Always be wary of films which claim to be better than some box-office hit or other.This cash-in on Jurassic Park bears no resemblance in the slightest to Harry Adam Knight's brilliant novel Carnosaur. So why bother getting copyright in the first place?The ideas behind this film are vaguely interesting and there is some good scenery, but what lets it all down are some of the most laughable, unconvincing dinosaurs I've ever had the misfortune to waste my time watching. The creatures in the silent 1925 Lost World are far better than these pathetic creations. So much for progress.Do yourself a huge favour and watch Jurassic Park instead. Or failing that, Barney. He's a far more convincing dinosaur than the rubber abominations in the complete turkey that is Carnosaur. If the sequels are as bad as this I don't think I'll bother with them."
4,Mansfield,"Interesting, if somewhat uneven","Never dull, if sometimes uneven in quality. The truth, and memory are ever subjective. Great photos. Despite the hoopla surrounding its release, it's worth a read."
2,Parma,Not so great - waste of money,I bought these headphones for my husband who works out and runs every day. They were uncomfortable and the sound quality was not very good. Didn't take long for the sound to go out in one of the earphones.
5,Burton,Decent earbuds,"These have pretty good sound, but do not block out much other sound. The twist to fit system is a little fiddly. I am still not sure that I am doing it right, but it works pretty well."
3,Pensacola,They do the job,Not much to be said about this product. Just watch for a low price and then stock up!
4,Brookfield,Keeping the gray matter awake,Having gone through the Private and Commercial cylabus I realised how quickly one forgets the all-important calculations... This guide keeps you current and your thoughts aligned without having to remember all the complicated match exactly
3,Elmwood Park,Super easy to use,"The scanguage has been a very satisfying purchase, super easy to install (just stick it in place with velcro and plug it in) and easy to use, with all kinds of information about the functions of the engine. I'm using it to optimize my driving for fuel economy, and it shows me instantaneous fuel use as well as mileage by the trip, by the day, or by the tank. You can also use it for miles-to-empty and for engine diagnostics.Great product."
3,Fort Lauderdale,FABULOUS!!!,"this is an updated, modern, slick and stylish new ""v"". i loved the campiness of the original mini-series and was dubious that the new version could capture me, but i was wrong! it is terrific, and the beautiful, but deadly anna is mesmerizing! good acting, great special effects and a story just interesting enough to carry the thing along, makes me impatient for each new episode. you don't have to be a sci-fi fan to appreciate this series! (yes, it is funny, as well as exciting.)"
2,Sayreville,They Are A Disgrace To All Of Hip Hop,"This album is so awful that I sold it the day after I bought it. I think the Beastie Boys should go home to their mole hole... Beastie Boys get P.S. For some real Rap, go and purchase Juveniles' 400 Degrees."
1,Lancaster,Poor,"I am an avid fan of classic radio, but this collection is the worst I have encountered of this genre."
2,Elmwood Park,PYREX EXPLODES!`,"DON'T BUY PYREX!!!! pyrex has a tendancy to EXPLODE for NO REASON! I worked for World Kitchen (owns Pyrex) and got tons of cases where pyrex exploded for no good reason. preheated ovens with no significante temp change... normal use and care and it EXPLODES!!!DON""T USE!!!"
2,Annapolis,Not Very Helpful,"This book is very limited. You have to look at each page to ID the flower. Some pictures are not very clear, and some do not show the leaves. If the plant you look at is not excatly like the book's pix you can't be 100% sure of the plant's ID."
4,Brookfield,A very realistic book about a different Gettysburg...,"Newt Gingrich and William R. Forstchen get together to write a very realistic Civil War novel about what would have happened if Robert E. Lee decided to carry out a sweeping, massive movement to out-flank the Union Army. Unlike most books about the Civil War, this book tosses out luck and almost magical changes in the thoughts of the main characters, basing the action and combat on the reality of the men and the leaders within both armies.The battle scenes are painfully real, causing me to feel horror at some of details. Both authors refuse to hide anything, showing the heroism and the gore that was the Civil War battlefield.A must for a What-If library or a Civil War library!"
4,Wausau,Transcends its time and its particulars,"here's what you do: 1. buy this book. 2. set it aside until a long, rainy afternoon presents itself. 3. enjoy a wonderfully written love story."
2,Holt,Sad to be a Robbie Fan,"I cannot beleive Robbie would be so concern about hisimage, and about breaking into the states, that he wouldan album like this, does he want to be someone he isn't?The songs are poorly written, but they are sang okay.The selection of songs dont flow, and the album justwont work in any country. EMI are in huge trouble nowthey will be looking for more Beatles albums and beggingGarth Brooks to come out of retirment, so make up for themoney they have lost on this guy."
4,Eastchester,Funny,Chevy Chase can get a laugh with just the look on his face. He does so several times throughout this classic movie. One of the things that makes this film so popular is that a lot of us relate to it for two reasons; it a family setting and cross country travel is involved.There's the usual comedic situations Chevy encounters such as getting lost in St. Louis and arriving at Wally World after it's been closed for cleaning. But there's also more. A nice mix exists whereby the comic rhythm is given an ebb and flow as small amounts of romance are inserted periodically.The downside is the treatment of the grandmother. That isn't a funny bit. It distracts from an otherwise very funny movie.
2,Burton,Yuck!,"I don't know how anybody can say this tastes even at all close to starbucks white mocha sauce. It has a really bad artificial after taste and is not rich and buttery like starbucks white mocha. My husband and I both drank this equally and he agreed that it was not worth a second purchase. If you really want a good white mocha, go with the ghiradelli sweet ground white chocolate powder. Now that is fabulous and tastes exactly like a starbucks white mocha. This torani white chocolate sauce is just plain bad, we had to almost plug our noses to get it down."
3,Pensacola,Simply Put - Satisfied!!!,"A Lesson Before Dying was delivered in a timely manner.Condition - like new. Only 3 slightly foldedpage holders. Binding was fine. No visiable damage, nopages missing, no personal notes in the book at all.Was simply very satisifed with this purchase.Thank you Amazon and thank you Book Squared.Would definitely recommend based on this first book."
5,Wausau,A screwball comedy with rather too many coincidences,"Sir Richard is the titular hero, a wealthy, handsome man who is being pestered to marry and keep his noble bloodline going. His short-sighted family is pushing him at a cold-blooded woman whose family is floundering in debt. Feeling trapped, he encounters a lively young lady who, also feeling pressured to wed (her cousin, who looks like a fish) has taken matters into her own hands, dressed as a boy, and intends to run off to a childhood playmate. Sir Richard decides to accompany her on her expedition, and they have a series of adventures that somewhat strains credulity. Although it is easy to see what each sees in the other, there is not actually any romantic zing; rather, there is a great deal of charm and humor. I don't consider this one of the best of Heyer's books, but it is a very good read."
3,Bridgewater,Wasn't what I paid for.,"Instead of the video cassette advertised, I received a tape of a family's home movies in the sleeve."
1,Marysville,Another Kindle Disaster,"For God's sake, Amazon, don't you ever look at Kindle products before putting them for sale? The words in this Kindle edition are run together. From now on, I will rate all Kindle disasters as one star."
3,Lancaster,We need a book about TYPICAL triplet pregnancies!,I read this book in it's entirety and it scared me to death. THis woman obviously had many health issues besides being pregnant with triplets. I don't think this paints a picture of a typical triplets pregnancy.
4,Orland Park,Umbra tab top panels,"These window panels look very nice, and are well-made. Only problem I have is that the 86"" panels are barely 85"" long, including the tab tops. Once hung on the rod, which spreads the tab out some, they're closer to 84"" long. I was really hoping they'd be the full 86"", but they will still work, just glad I didn't install the rods without measuring first."
