"city","lat","lng","country","state","population"
"Pensacola","30.4413","-87.1911","United States","Florida","360711"
"Fort Lauderdale","26.1412","-80.1464","United States","Florida","182247"
"Marysville","48.0809","-122.1561","United States","Washington","164655"
"Annapolis","38.9706","-76.5047","United States","Maryland","40581"
"Eastchester","40.9536","-73.8133","United States","New York","34207"
"Elmwood Park","41.9225","-87.8163","United States","Illinois","24517"
"Kenmore","42.9646","-78.8713","United States","New York","15207"
"Parma","41.3843","-81.7286","United States","Ohio","80880"
"Wausau","44.9620","-89.6459","United States","Wisconsin","76016"
"Orland Park","41.6075","-87.8619","United States","Illinois","58622"
"Bridgewater","40.5934","-74.6076","United States","New Jersey","46072"
"Sayreville","40.4656","-74.3237","United States","New Jersey","45062"
"Lancaster","42.9099","-78.6378","United States","New York","44732"
"Brookfield","43.0640","-88.1231","United States","Wisconsin","41020"
"Burton","42.9974","-83.6175","United States","Michigan","29532"
"Fridley","45.0841","-93.2595","United States","Minnesota","29422"
"New Windsor","41.4742","-74.1089","United States","New York","27541"
"Sun City Center","27.7150","-82.3569","United States","Florida","26920"
"Mansfield","41.7892","-72.2287","United States","Connecticut","26431"
"Holt","42.6416","-84.5308","United States","Michigan","25755"
